,index,StringID,Type,x,y,demand,ReadyTime,DueTime,ServiceTime,Q,C,r,g,v
0,0,D0,d,40.0,50.0,0.0,0.0,3390.0,0.0,118.31,700.0,1.0,2.28,1.0
1,1,S0,f,40.0,50.0,0.0,0.0,3390.0,0.0,,,,,
2,2,S1,f,73.0,52.0,0.0,0.0,3390.0,0.0,,,,,
3,3,S2,f,90.0,55.0,0.0,0.0,3390.0,0.0,,,,,
4,4,S3,f,55.0,79.0,0.0,0.0,3390.0,0.0,,,,,
5,5,S4,f,69.0,89.0,0.0,0.0,3390.0,0.0,,,,,
6,6,S5,f,32.0,80.0,0.0,0.0,3390.0,0.0,,,,,
7,7,S6,f,39.0,96.0,0.0,0.0,3390.0,0.0,,,,,
8,8,S7,f,23.0,80.0,0.0,0.0,3390.0,0.0,,,,,
9,9,S8,f,4.0,83.0,0.0,0.0,3390.0,0.0,,,,,
10,10,S9,f,18.0,58.0,0.0,0.0,3390.0,0.0,,,,,
11,11,S10,f,1.0,56.0,0.0,0.0,3390.0,0.0,,,,,
12,12,S11,f,13.0,31.0,0.0,0.0,3390.0,0.0,,,,,
13,13,S12,f,-5.0,38.0,0.0,0.0,3390.0,0.0,,,,,
14,14,S13,f,26.0,37.0,0.0,0.0,3390.0,0.0,,,,,
15,15,S14,f,28.0,13.0,0.0,0.0,3390.0,0.0,,,,,
16,16,S15,f,39.0,31.0,0.0,0.0,3390.0,0.0,,,,,
17,17,S16,f,48.0,11.0,0.0,0.0,3390.0,0.0,,,,,
18,18,S17,f,59.0,17.0,0.0,0.0,3390.0,0.0,,,,,
19,19,S18,f,73.0,23.0,0.0,0.0,3390.0,0.0,,,,,
20,20,S19,f,74.0,32.0,0.0,0.0,3390.0,0.0,,,,,
21,21,S20,f,90.0,44.0,0.0,0.0,3390.0,0.0,,,,,
22,22,C13,0,22.0,75.0,30.0,316.0,476.0,90.0,,,,,
23,23,C11,1,35.0,69.0,10.0,121.0,281.0,90.0,,,,,
24,24,C62,0,50.0,35.0,20.0,2620.0,2780.0,90.0,,,,,
25,25,C75,1,45.0,65.0,20.0,1179.0,1339.0,90.0,,,,,
26,26,C61,0,50.0,30.0,10.0,2339.0,2499.0,90.0,,,,,
27,27,C25,1,22.0,66.0,40.0,1078.0,1238.0,90.0,,,,,
28,28,C95,0,62.0,80.0,30.0,416.0,576.0,90.0,,,,,
29,29,C78,1,78.0,40.0,20.0,1516.0,1676.0,90.0,,,,,
30,30,C100,0,55.0,85.0,20.0,795.0,955.0,90.0,,,,,
31,31,C33,1,8.0,40.0,40.0,2355.0,2515.0,90.0,,,,,
32,32,C80,0,85.0,25.0,10.0,1227.0,1387.0,90.0,,,,,
33,33,C36,1,5.0,45.0,10.0,1787.0,1947.0,90.0,,,,,
34,34,C10,0,35.0,66.0,10.0,28.0,188.0,90.0,,,,,
35,35,C55,1,42.0,15.0,10.0,1861.0,2021.0,90.0,,,,,
36,36,C64,0,48.0,30.0,10.0,2247.0,2407.0,90.0,,,,,
37,37,C9,1,28.0,70.0,10.0,218.0,378.0,90.0,,,,,
38,38,C81,0,85.0,35.0,30.0,1417.0,1577.0,90.0,,,,,
39,39,C49,1,48.0,20.0,10.0,1959.0,2119.0,90.0,,,,,
40,40,C45,0,30.0,30.0,10.0,682.0,842.0,90.0,,,,,
41,41,C93,1,42.0,58.0,40.0,1369.0,1529.0,90.0,,,,,
42,42,C34,0,8.0,45.0,20.0,1694.0,1854.0,90.0,,,,,
43,43,C40,1,36.0,18.0,10.0,968.0,1128.0,90.0,,,,,
44,44,C96,0,62.0,40.0,10.0,1808.0,1968.0,90.0,,,,,
45,45,C50,1,26.0,32.0,10.0,495.0,655.0,90.0,,,,,
46,46,C77,0,72.0,45.0,10.0,1614.0,1774.0,90.0,,,,,
47,47,C65,1,44.0,25.0,10.0,2056.0,2216.0,90.0,,,,,
48,48,C87,0,64.0,46.0,20.0,1712.0,1872.0,90.0,,,,,
49,49,C57,1,38.0,15.0,40.0,1201.0,1361.0,90.0,,,,,
50,50,C82,0,75.0,55.0,20.0,508.0,668.0,90.0,,,,,
51,51,C6,1,16.0,42.0,20.0,2544.0,2704.0,90.0,,,,,
52,52,C48,0,36.0,40.0,10.0,11.0,171.0,90.0,,,,,
53,53,C17,1,18.0,75.0,20.0,978.0,1138.0,90.0,,,,,
54,54,C37,0,2.0,40.0,20.0,2069.0,2229.0,90.0,,,,,
55,55,C29,1,20.0,50.0,10.0,2642.0,2802.0,90.0,,,,,
56,56,C28,0,4.0,55.0,20.0,1593.0,1753.0,90.0,,,,,
57,57,C89,1,56.0,64.0,10.0,22.0,182.0,90.0,,,,,
58,58,C69,0,45.0,35.0,10.0,2805.0,2965.0,90.0,,,,,
59,59,C15,1,20.0,80.0,40.0,411.0,571.0,90.0,,,,,
60,60,C24,0,25.0,50.0,10.0,2925.0,3085.0,90.0,,,,,
61,61,C76,1,90.0,35.0,10.0,845.0,1005.0,90.0,,,,,
62,62,C39,0,0.0,45.0,20.0,1882.0,2042.0,90.0,,,,,
63,63,C92,1,67.0,85.0,20.0,603.0,763.0,90.0,,,,,
64,64,C18,0,15.0,75.0,20.0,885.0,1045.0,90.0,,,,,
65,65,C32,1,10.0,40.0,30.0,2447.0,2607.0,90.0,,,,,
66,66,C54,0,42.0,10.0,40.0,1766.0,1926.0,90.0,,,,,
67,67,C56,1,40.0,5.0,30.0,1577.0,1737.0,90.0,,,,,
68,68,C5,0,42.0,65.0,10.0,1272.0,1432.0,90.0,,,,,
69,69,C66,1,47.0,35.0,10.0,2713.0,2873.0,90.0,,,,,
70,70,C86,0,66.0,55.0,10.0,226.0,386.0,90.0,,,,,
71,71,C27,1,23.0,52.0,10.0,2832.0,2992.0,90.0,,,,,
