,index,StringID,Type,x,y,demand,ReadyTime,DueTime,ServiceTime,Q,C,r,g,v
0,0,D0,d,35.0,35.0,0.0,0.0,1000.0,0.0,187.86,1000.0,1.0,0.16,1.0
1,1,S0,f,35.0,35.0,0.0,0.0,1000.0,0.0,,,,,
2,2,S1,f,61.0,37.0,0.0,0.0,1000.0,0.0,,,,,
3,3,S2,f,74.0,39.0,0.0,0.0,1000.0,0.0,,,,,
4,4,S3,f,47.0,57.0,0.0,0.0,1000.0,0.0,,,,,
5,5,S4,f,57.0,65.0,0.0,0.0,1000.0,0.0,,,,,
6,6,S5,f,29.0,59.0,0.0,0.0,1000.0,0.0,,,,,
7,7,S6,f,34.0,71.0,0.0,0.0,1000.0,0.0,,,,,
8,8,S7,f,22.0,58.0,0.0,0.0,1000.0,0.0,,,,,
9,9,S8,f,7.0,61.0,0.0,0.0,1000.0,0.0,,,,,
10,10,S9,f,18.0,41.0,0.0,0.0,1000.0,0.0,,,,,
11,11,S10,f,5.0,39.0,0.0,0.0,1000.0,0.0,,,,,
12,12,S11,f,14.0,20.0,0.0,0.0,1000.0,0.0,,,,,
13,13,S12,f,0.0,26.0,0.0,0.0,1000.0,0.0,,,,,
14,14,S13,f,24.0,25.0,0.0,0.0,1000.0,0.0,,,,,
15,15,S14,f,26.0,6.0,0.0,0.0,1000.0,0.0,,,,,
16,16,S15,f,34.0,20.0,0.0,0.0,1000.0,0.0,,,,,
17,17,S16,f,41.0,5.0,0.0,0.0,1000.0,0.0,,,,,
18,18,S17,f,50.0,9.0,0.0,0.0,1000.0,0.0,,,,,
19,19,S18,f,61.0,14.0,0.0,0.0,1000.0,0.0,,,,,
20,20,S19,f,62.0,21.0,0.0,0.0,1000.0,0.0,,,,,
21,21,S20,f,74.0,30.0,0.0,0.0,1000.0,0.0,,,,,
22,22,C56,0,53.0,12.0,6.0,767.0,919.0,10.0,,,,,
23,23,C75,0,49.0,11.0,18.0,537.0,635.0,10.0,,,,,
24,24,C46,1,2.0,48.0,1.0,58.0,194.0,10.0,,,,,
25,25,C39,0,60.0,12.0,31.0,284.0,440.0,10.0,,,,,
26,26,C90,0,31.0,67.0,3.0,532.0,636.0,10.0,,,,,
27,27,C37,1,20.0,20.0,8.0,500.0,678.0,10.0,,,,,
28,28,C100,0,18.0,18.0,17.0,118.0,148.0,10.0,,,,,
29,29,C20,0,45.0,65.0,9.0,679.0,769.0,10.0,,,,,
30,30,C85,1,16.0,22.0,41.0,552.0,744.0,10.0,,,,,
31,31,C96,0,22.0,27.0,11.0,874.0,948.0,10.0,,,,,
32,32,C99,0,20.0,26.0,9.0,101.0,193.0,10.0,,,,,
33,33,C16,1,10.0,20.0,19.0,527.0,665.0,10.0,,,,,
34,34,C25,0,65.0,20.0,6.0,69.0,183.0,10.0,,,,,
35,35,C77,0,53.0,43.0,14.0,86.0,224.0,10.0,,,,,
36,36,C57,1,32.0,12.0,7.0,471.0,587.0,10.0,,,,,
37,37,C27,0,35.0,40.0,16.0,299.0,477.0,10.0,,,,,
38,38,C28,0,41.0,37.0,16.0,357.0,495.0,10.0,,,,,
39,39,C47,1,8.0,56.0,27.0,619.0,763.0,10.0,,,,,
40,40,C11,0,20.0,65.0,12.0,701.0,821.0,10.0,,,,,
41,41,C86,0,4.0,18.0,35.0,877.0,947.0,10.0,,,,,
42,42,C24,1,65.0,35.0,3.0,802.0,912.0,10.0,,,,,
43,43,C71,0,57.0,68.0,15.0,710.0,796.0,10.0,,,,,
44,44,C48,0,13.0,52.0,36.0,418.0,558.0,10.0,,,,,
45,45,C15,1,30.0,5.0,8.0,861.0,959.0,10.0,,,,,
46,46,C59,0,21.0,24.0,28.0,18.0,140.0,10.0,,,,,
47,47,C22,0,45.0,10.0,18.0,765.0,885.0,10.0,,,,,
48,48,C97,1,25.0,21.0,12.0,566.0,636.0,10.0,,,,,
49,49,C64,0,15.0,77.0,9.0,719.0,821.0,10.0,,,,,
50,50,C93,0,18.0,24.0,22.0,565.0,643.0,10.0,,,,,
51,51,C12,1,50.0,35.0,19.0,850.0,934.0,10.0,,,,,
52,52,C58,0,36.0,26.0,18.0,399.0,515.0,10.0,,,,,
53,53,C31,0,31.0,52.0,27.0,591.0,809.0,10.0,,,,,
54,54,C60,1,17.0,34.0,3.0,589.0,721.0,10.0,,,,,
55,55,C35,0,63.0,65.0,8.0,726.0,894.0,10.0,,,,,
56,56,C44,0,11.0,14.0,18.0,578.0,714.0,10.0,,,,,
57,57,C95,1,25.0,24.0,20.0,15.0,179.0,10.0,,,,,
58,58,C87,0,28.0,18.0,26.0,530.0,568.0,10.0,,,,,
59,59,C1,0,41.0,49.0,10.0,16.0,102.0,10.0,,,,,
60,60,C88,1,26.0,52.0,9.0,318.0,464.0,10.0,,,,,
61,61,C68,0,56.0,39.0,36.0,318.0,466.0,10.0,,,,,
62,62,C14,0,15.0,10.0,20.0,174.0,304.0,10.0,,,,,
63,63,C83,1,14.0,37.0,11.0,545.0,677.0,10.0,,,,,
64,64,C82,0,15.0,47.0,16.0,697.0,803.0,10.0,,,,,
65,65,C65,0,62.0,77.0,20.0,113.0,215.0,10.0,,,,,
66,66,C53,1,37.0,31.0,14.0,388.0,516.0,10.0,,,,,
67,67,C78,0,61.0,52.0,3.0,230.0,408.0,10.0,,,,,
68,68,C52,0,27.0,43.0,9.0,233.0,391.0,10.0,,,,,
69,69,C10,1,30.0,60.0,16.0,585.0,691.0,10.0,,,,,
70,70,C62,0,24.0,58.0,19.0,840.0,964.0,10.0,,,,,
71,71,C54,0,57.0,29.0,18.0,23.0,144.0,10.0,,,,,
