,index,StringID,Type,x,y,demand,ReadyTime,DueTime,ServiceTime,Q,C,r,g,v
0,0,D0,d,40.0,50.0,0.0,0.0,960.0,0.0,211.04,1000.0,1.0,0.14,1.0
1,1,S0,f,40.0,50.0,0.0,0.0,960.0,0.0,,,,,
2,2,S1,f,73.0,52.0,0.0,0.0,960.0,0.0,,,,,
3,3,S2,f,90.0,55.0,0.0,0.0,960.0,0.0,,,,,
4,4,S3,f,55.0,79.0,0.0,0.0,960.0,0.0,,,,,
5,5,S4,f,69.0,89.0,0.0,0.0,960.0,0.0,,,,,
6,6,S5,f,32.0,80.0,0.0,0.0,960.0,0.0,,,,,
7,7,S6,f,39.0,96.0,0.0,0.0,960.0,0.0,,,,,
8,8,S7,f,23.0,80.0,0.0,0.0,960.0,0.0,,,,,
9,9,S8,f,4.0,83.0,0.0,0.0,960.0,0.0,,,,,
10,10,S9,f,18.0,58.0,0.0,0.0,960.0,0.0,,,,,
11,11,S10,f,1.0,56.0,0.0,0.0,960.0,0.0,,,,,
12,12,S11,f,13.0,31.0,0.0,0.0,960.0,0.0,,,,,
13,13,S12,f,-5.0,38.0,0.0,0.0,960.0,0.0,,,,,
14,14,S13,f,26.0,37.0,0.0,0.0,960.0,0.0,,,,,
15,15,S14,f,28.0,13.0,0.0,0.0,960.0,0.0,,,,,
16,16,S15,f,39.0,31.0,0.0,0.0,960.0,0.0,,,,,
17,17,S16,f,48.0,11.0,0.0,0.0,960.0,0.0,,,,,
18,18,S17,f,59.0,17.0,0.0,0.0,960.0,0.0,,,,,
19,19,S18,f,73.0,23.0,0.0,0.0,960.0,0.0,,,,,
20,20,S19,f,74.0,32.0,0.0,0.0,960.0,0.0,,,,,
21,21,S20,f,90.0,44.0,0.0,0.0,960.0,0.0,,,,,
22,22,C80,0,47.0,47.0,13.0,349.0,469.0,10.0,,,,,
23,23,C6,0,18.0,75.0,20.0,258.0,378.0,10.0,,,,,
24,24,C51,0,55.0,20.0,19.0,482.0,602.0,10.0,,,,,
25,25,C100,1,31.0,67.0,3.0,468.0,588.0,10.0,,,,,
26,26,C55,0,30.0,60.0,16.0,661.0,781.0,10.0,,,,,
27,27,C21,0,40.0,5.0,10.0,522.0,642.0,10.0,,,,,
28,28,C40,0,60.0,85.0,30.0,512.0,632.0,10.0,,,,,
29,29,C14,1,5.0,45.0,10.0,198.0,318.0,10.0,,,,,
30,30,C76,0,60.0,12.0,31.0,47.0,167.0,10.0,,,,,
31,31,C26,0,95.0,30.0,30.0,771.0,891.0,10.0,,,,,
32,32,C98,0,26.0,52.0,9.0,218.0,338.0,10.0,,,,,
33,33,C9,1,10.0,35.0,20.0,654.0,774.0,10.0,,,,,
34,34,C67,0,64.0,42.0,9.0,26.0,146.0,10.0,,,,,
35,35,C61,0,45.0,65.0,9.0,618.0,738.0,10.0,,,,,
36,36,C8,0,15.0,80.0,10.0,440.0,560.0,10.0,,,,,
37,37,C82,1,27.0,43.0,9.0,509.0,629.0,10.0,,,,,
38,38,C68,0,40.0,60.0,21.0,744.0,864.0,10.0,,,,,
39,39,C19,0,42.0,10.0,40.0,41.0,161.0,10.0,,,,,
40,40,C7,0,15.0,75.0,20.0,129.0,249.0,10.0,,,,,
41,41,C60,1,15.0,60.0,17.0,43.0,163.0,10.0,,,,,
42,42,C12,0,8.0,45.0,20.0,797.0,917.0,10.0,,,,,
43,43,C29,0,90.0,35.0,10.0,501.0,621.0,10.0,,,,,
44,44,C58,0,15.0,10.0,20.0,443.0,563.0,10.0,,,,,
45,45,C38,1,62.0,80.0,30.0,105.0,225.0,10.0,,,,,
46,46,C72,0,63.0,65.0,8.0,331.0,451.0,10.0,,,,,
47,47,C75,0,5.0,5.0,16.0,384.0,504.0,10.0,,,,,
48,48,C63,0,65.0,20.0,6.0,316.0,436.0,10.0,,,,,
49,49,C45,1,20.0,82.0,10.0,646.0,766.0,10.0,,,,,
50,50,C24,0,38.0,15.0,10.0,161.0,281.0,10.0,,,,,
51,51,C85,0,63.0,23.0,2.0,98.0,218.0,10.0,,,,,
52,52,C93,0,61.0,52.0,3.0,317.0,437.0,10.0,,,,,
53,53,C66,1,41.0,37.0,16.0,584.0,704.0,10.0,,,,,
54,54,C99,0,26.0,35.0,15.0,21.0,141.0,10.0,,,,,
55,55,C52,0,25.0,30.0,3.0,553.0,673.0,10.0,,,,,
56,56,C4,0,20.0,80.0,40.0,712.0,832.0,10.0,,,,,
57,57,C36,1,65.0,85.0,40.0,517.0,637.0,10.0,,,,,
58,58,C59,0,10.0,20.0,19.0,655.0,775.0,10.0,,,,,
59,59,C64,0,45.0,30.0,17.0,628.0,748.0,10.0,,,,,
60,60,C50,0,72.0,35.0,30.0,736.0,856.0,10.0,,,,,
61,61,C47,1,2.0,45.0,10.0,259.0,379.0,10.0,,,,,
62,62,C56,0,50.0,35.0,19.0,184.0,304.0,10.0,,,,,
63,63,C22,0,40.0,15.0,40.0,621.0,741.0,10.0,,,,,
64,64,C35,0,67.0,85.0,20.0,647.0,767.0,10.0,,,,,
65,65,C39,1,60.0,80.0,10.0,751.0,871.0,10.0,,,,,
66,66,C27,0,95.0,35.0,20.0,675.0,795.0,10.0,,,,,
67,67,C33,0,85.0,25.0,10.0,766.0,886.0,10.0,,,,,
68,68,C37,0,65.0,82.0,10.0,252.0,372.0,10.0,,,,,
69,69,C86,1,21.0,24.0,28.0,373.0,493.0,10.0,,,,,
70,70,C70,0,35.0,69.0,23.0,398.0,518.0,10.0,,,,,
71,71,C65,0,35.0,40.0,16.0,28.0,148.0,10.0,,,,,
